ligand,construct,bottom,top,ec50,hill
tc-6987,pcoda71,200.00,4326.51,2.90,2.27
tc-6987,pcoda102,56.51,2456.84,3.50,1.50
tc-6987,pcoda153,190.43,3499.21,3.74,2.56
tc-6987,pcoda333,200.00,2964.01,26.45,1.61
tc-6987,pcoda335,31.58,677.89,0.59,7.00
tc-6987,pcoda339,0.00,7291.51,5.42,1.11
