ligand,construct,bottom,top,ec50,hill
acetylcholine,pcoda339,200,3830.088477,1962.543627,1.148912529
acetylcholine,pcoda377,200,3939.304454,1477.817506,1.538960688
acetylcholine,pcoda71,135.4031019,6011.412288,89.37508881,1.764142851
acetylcholine,a7_4,91.41001794,3797.886272,47.87360145,1.700392066
